iter	Passed	Remaining
0	135	135392
1	136	68208
2	137	45637
3	138	34471
4	139	27683
5	139	23154
6	140	19990
7	141	17559
8	142	15648
9	142	14138
10	143	12894
11	144	11863
12	144	10973
13	145	10229
14	145	9572
15	146	8995
16	146	8487
17	147	8032
18	147	7624
19	148	7259
20	148	6932
21	149	6632
22	149	6358
23	150	6110
24	150	5879
25	151	5671
26	151	5474
27	152	5300
28	153	5130
29	153	4972
30	154	4825
31	154	4685
32	155	4556
33	156	4435
34	156	4320
35	157	4212
36	157	4108
37	158	4010
38	159	3923
39	159	3838
40	160	3755
41	161	3674
42	161	3597
43	162	3526
44	162	3455
45	163	3388
46	163	3324
47	164	3262
48	165	3204
49	165	3146
50	166	3090
51	166	3039
52	167	2988
53	167	2940
54	168	2893
55	168	2847
56	169	2804
57	170	2762
58	170	2721
59	171	2682
60	171	2643
61	172	2606
62	172	2572
63	173	2536
64	174	2503
65	174	2472
66	175	2440
67	175	2409
68	176	2378
69	176	2350
70	177	2322
71	178	2296
72	178	2271
73	179	2245
74	180	2221
75	180	2194
76	180	2169
77	181	2146
78	182	2123
79	182	2100
80	183	2078
81	183	2056
82	183	2032
83	184	2012
84	185	1992
85	185	1973
86	186	1954
87	186	1936
88	187	1918
89	187	1899
90	188	1882
91	189	1865
92	189	1849
93	190	1833
94	190	1816
95	191	1800
96	191	1786
97	192	1771
98	192	1756
99	193	1741
100	194	1727
101	194	1713
102	195	1699
103	195	1686
104	196	1673
105	196	1661
106	197	1648
107	198	1635
108	198	1623
109	199	1611
110	199	1600
111	200	1588
112	200	1576
113	201	1565
114	201	1554
115	202	1544
116	203	1532
117	203	1522
118	204	1512
119	204	1503
120	205	1492
121	205	1482
122	206	1472
123	207	1462
124	207	1453
125	208	1444
126	208	1434
127	209	1426
128	209	1417
129	210	1407
130	210	1399
131	211	1390
132	211	1381
133	212	1373
134	213	1365
135	213	1357
136	214	1349
137	214	1342
138	215	1334
139	216	1327
140	216	1319
141	216	1310
142	217	1302
143	217	1294
144	218	1286
145	218	1279
146	219	1271
147	219	1263
148	219	1256
149	220	1248
150	220	1241
151	221	1236
152	222	1229
153	222	1223
154	223	1217
155	223	1211
156	224	1205
157	225	1199
158	225	1193
159	226	1186
